Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-1.48238947,-1.48238947,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-1.48238947,-1.48238947,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.03800000,-1.48235046,-1.48238837,0.10455179,0.10455295,-0.00110071,0.486133 µm.
0.03800000,-1.48235046,-1.48238837,0.10455179,0.10455295,-0.00110071,0.486133 µm.
0.07600000,-1.48226437,-1.48238509,0.20910394,0.20910598,-0.00097855,0.486133 µm.
0.07600000,-1.48226437,-1.48238509,0.20910394,0.20910598,-0.00097855,0.486133 µm.
0.11400000,-1.48213119,-1.48237962,0.31365677,0.31365920,-0.00077496,0.486133 µm.
0.11400000,-1.48213119,-1.48237962,0.31365677,0.31365920,-0.00077496,0.486133 µm.
0.15200000,-1.48195092,-1.48237196,0.41821065,0.41821270,-0.00048993,0.486133 µm.
0.15200000,-1.48195092,-1.48237196,0.41821065,0.41821270,-0.00048993,0.486133 µm.
0.19000000,-1.48172356,-1.48236210,0.52276592,0.52276656,-0.00012347,0.486133 µm.
0.19000000,-1.48172356,-1.48236210,0.52276592,0.52276656,-0.00012347,0.486133 µm.
0.22800000,-1.48144910,-1.48235003,0.62732293,0.62732089,0.00032465,0.486133 µm.
0.22800000,-1.48144910,-1.48235003,0.62732293,0.62732089,0.00032465,0.486133 µm.
0.26600000,-1.48112753,-1.48233576,0.73188202,0.73187577,0.00085399,0.486133 µm.
0.26600000,-1.48112753,-1.48233576,0.73188202,0.73187577,0.00085399,0.486133 µm.
0.30400000,-1.48075885,-1.48231928,0.83644354,0.83643129,0.00146476,0.486133 µm.
0.30400000,-1.48075885,-1.48231928,0.83644354,0.83643129,0.00146476,0.486133 µm.
0.34200000,-1.48034305,-1.48230057,0.94100784,0.94098754,0.00215698,0.486133 µm.
0.34200000,-1.48034305,-1.48230057,0.94100784,0.94098754,0.00215698,0.486133 µm.
0.38000000,-1.47988011,-1.48227962,1.04557527,1.04554463,0.00293063,0.486133 µm.
0.38000000,-1.47988011,-1.48227962,1.04557527,1.04554463,0.00293063,0.486133 µm.
0.41800000,-1.47937003,-1.48225643,1.15014617,1.15010263,0.00378571,0.486133 µm.
0.41800000,-1.47937003,-1.48225643,1.15014617,1.15010263,0.00378571,0.486133 µm.
0.45600000,-1.47881279,-1.48223098,1.25472090,1.25466165,0.00472224,0.486133 µm.
0.45600000,-1.47881279,-1.48223098,1.25472090,1.25466165,0.00472224,0.486133 µm.
0.49400000,-1.47820837,-1.48220325,1.35929979,1.35922177,0.00574020,0.486133 µm.
0.49400000,-1.47820837,-1.48220325,1.35929979,1.35922177,0.00574020,0.486133 µm.
0.53200000,-1.47755677,-1.48217324,1.46388320,1.46378308,0.00683960,0.486133 µm.
0.53200000,-1.47755677,-1.48217324,1.46388320,1.46378308,0.00683960,0.486133 µm.
0.57000000,-1.47685797,-1.48214093,1.56847147,1.56834569,0.00802043,0.486133 µm.
0.57000000,-1.47685797,-1.48214093,1.56847147,1.56834569,0.00802043,0.486133 µm.
0.60800000,-1.47611194,-1.48210629,1.67306496,1.67290967,0.00928270,0.486133 µm.
0.60800000,-1.47611194,-1.48210629,1.67306496,1.67290967,0.00928270,0.486133 µm.
0.64600000,-1.47531867,-1.48206932,1.77766401,1.77747512,0.01062641,0.486133 µm.
0.64600000,-1.47531867,-1.48206932,1.77766401,1.77747512,0.01062641,0.486133 µm.
0.68400000,-1.47447814,-1.48202999,1.88226896,1.88204214,0.01205156,0.486133 µm.
0.68400000,-1.47447814,-1.48202999,1.88226896,1.88204214,0.01205156,0.486133 µm.
0.72200000,-1.47359032,-1.48198829,1.98688017,1.98661082,0.01355814,0.486133 µm.
0.72200000,-1.47359032,-1.48198829,1.98688017,1.98661082,0.01355814,0.486133 µm.
0.76000000,-1.47265521,-1.48194418,2.09149798,2.09118124,0.01514616,0.486133 µm.
0.76000000,-1.47265521,-1.48194418,2.09149798,2.09118124,0.01514616,0.486133 µm.
0.79800000,-1.47167277,-1.48189765,2.19612273,2.19575350,0.01681562,0.486133 µm.
0.79800000,-1.47167277,-1.48189765,2.19612273,2.19575350,0.01681562,0.486133 µm.
