Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.37993726,0.37993726,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.37993726,0.37993726,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.24000000,0.37972264,0.37971154,0.23901155,0.23901154,0.00000264,0.486133 µm.
0.24000000,0.37972264,0.37971154,0.23901155,0.23901154,0.00000264,0.486133 µm.
0.48000000,0.37906629,0.37903441,0.47802314,0.47802309,0.00001055,0.486133 µm.
0.48000000,0.37906629,0.37903441,0.47802314,0.47802309,0.00001055,0.486133 µm.
0.72000000,0.37796845,0.37790595,0.71703480,0.71703463,0.00002373,0.486133 µm.
0.72000000,0.37796845,0.37790595,0.71703480,0.71703463,0.00002373,0.486133 µm.
0.96000000,0.37642948,0.37632628,0.95604657,0.95604617,0.00004213,0.486133 µm.
0.96000000,0.37642948,0.37632628,0.95604657,0.95604617,0.00004213,0.486133 µm.
1.20000000,0.37444992,0.37429559,1.19505850,1.19505771,0.00006573,0.486133 µm.
1.20000000,0.37444992,0.37429559,1.19505850,1.19505771,0.00006573,0.486133 µm.
1.44000000,0.37203045,0.37181413,1.43407061,1.43406926,0.00009447,0.486133 µm.
1.44000000,0.37203045,0.37181413,1.43407061,1.43406926,0.00009447,0.486133 µm.
1.68000000,0.36917189,0.36888216,1.67308295,1.67308080,0.00012830,0.486133 µm.
1.68000000,0.36917189,0.36888216,1.67308295,1.67308080,0.00012830,0.486133 µm.
1.92000000,0.36587522,0.36550004,1.91209554,1.91209234,0.00016714,0.486133 µm.
1.92000000,0.36587522,0.36550004,1.91209554,1.91209234,0.00016714,0.486133 µm.
2.16000000,0.36214158,0.36166817,2.15110842,2.15110389,0.00021092,0.486133 µm.
2.16000000,0.36214158,0.36166817,2.15110842,2.15110389,0.00021092,0.486133 µm.
2.40000000,0.35797224,0.35738697,2.39012163,2.39011543,0.00025955,0.486133 µm.
2.40000000,0.35797224,0.35738697,2.39012163,2.39011543,0.00025955,0.486133 µm.
2.64000000,0.35336864,0.35265696,2.62913520,2.62912697,0.00031291,0.486133 µm.
2.64000000,0.35336864,0.35265696,2.62913520,2.62912697,0.00031291,0.486133 µm.
2.88000000,0.34833235,0.34747867,2.86814915,2.86813851,0.00037090,0.486133 µm.
2.88000000,0.34833235,0.34747867,2.86814915,2.86813851,0.00037090,0.486133 µm.
3.12000000,0.34286512,0.34185272,3.10716352,3.10715006,0.00043340,0.486133 µm.
3.12000000,0.34286512,0.34185272,3.10716352,3.10715006,0.00043340,0.486133 µm.
3.36000000,0.33696881,0.33577976,3.34617834,3.34616160,0.00050026,0.486133 µm.
3.36000000,0.33696881,0.33577976,3.34617834,3.34616160,0.00050026,0.486133 µm.
3.60000000,0.33064548,0.32926050,3.58519363,3.58517314,0.00057134,0.486133 µm.
3.60000000,0.33064548,0.32926050,3.58519363,3.58517314,0.00057134,0.486133 µm.
3.84000000,0.32389729,0.32229568,3.82420941,3.82418469,0.00064649,0.486133 µm.
3.84000000,0.32389729,0.32229568,3.82420941,3.82418469,0.00064649,0.486133 µm.
