Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.77156476,0.77156476,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.77156476,0.77156476,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.24000000,0.77147024,0.77139537,0.23835257,0.23835249,0.00003419,0.486133 µm.
0.24000000,0.77147024,0.77139537,0.23835257,0.23835249,0.00003419,0.486133 µm.
0.48000000,0.77119950,0.77088721,0.47670558,0.47670498,0.00012660,0.486133 µm.
0.48000000,0.77119950,0.77088721,0.47670558,0.47670498,0.00012660,0.486133 µm.
0.72000000,0.77075287,0.77004040,0.71505947,0.71505747,0.00028034,0.486133 µm.
0.72000000,0.77075287,0.77004040,0.71505947,0.71505747,0.00028034,0.486133 µm.
0.96000000,0.77013088,0.76885512,0.95341468,0.95340995,0.00049553,0.486133 µm.
0.96000000,0.77013088,0.76885512,0.95341468,0.95340995,0.00049553,0.486133 µm.
1.20000000,0.76933426,0.76733161,1.19177164,1.19176244,0.00077160,0.486133 µm.
1.20000000,0.76933426,0.76733161,1.19177164,1.19176244,0.00077160,0.486133 µm.
1.44000000,0.76836396,0.76547020,1.43013078,1.43011493,0.00110855,0.486133 µm.
1.44000000,0.76836396,0.76547020,1.43013078,1.43011493,0.00110855,0.486133 µm.
1.68000000,0.76722112,0.76327128,1.66849255,1.66846742,0.00150604,0.486133 µm.
1.68000000,0.76722112,0.76327128,1.66849255,1.66846742,0.00150604,0.486133 µm.
1.92000000,0.76590707,0.76073531,1.90685735,1.90681991,0.00196372,0.486133 µm.
1.92000000,0.76590707,0.76073531,1.90685735,1.90681991,0.00196372,0.486133 µm.
2.16000000,0.76442338,0.75786283,2.14522562,2.14517240,0.00248115,0.486133 µm.
2.16000000,0.76442338,0.75786283,2.14522562,2.14517240,0.00248115,0.486133 µm.
2.40000000,0.76277178,0.75465443,2.38359777,2.38352488,0.00305788,0.486133 µm.
2.40000000,0.76277178,0.75465443,2.38359777,2.38352488,0.00305788,0.486133 µm.
