Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.01406117,0.01406117,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.01406117,0.01406117,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.23000000,0.01389941,0.01388028,0.22984903,0.22984899,0.00001447,0.486133 µm.
0.23000000,0.01389941,0.01388028,0.22984903,0.22984899,0.00001447,0.486133 µm.
0.46000000,0.01341596,0.01333765,0.45969825,0.45969799,0.00005786,0.486133 µm.
0.46000000,0.01341596,0.01333765,0.45969825,0.45969799,0.00005786,0.486133 µm.
0.69000000,0.01261102,0.01243332,0.68954788,0.68954698,0.00013016,0.486133 µm.
0.69000000,0.01261102,0.01243332,0.68954788,0.68954698,0.00013016,0.486133 µm.
0.92000000,0.01148495,0.01116743,0.91939810,0.91939597,0.00023135,0.486133 µm.
0.92000000,0.01148495,0.01116743,0.91939810,0.91939597,0.00023135,0.486133 µm.
1.15000000,0.01003825,0.00954011,1.14924912,1.14924497,0.00036137,0.486133 µm.
1.15000000,0.01003825,0.00954011,1.14924912,1.14924497,0.00036137,0.486133 µm.
1.38000000,0.00827156,0.00755158,1.37910113,1.37909396,0.00052018,0.486133 µm.
1.38000000,0.00827156,0.00755158,1.37910113,1.37909396,0.00052018,0.486133 µm.
1.61000000,0.00618566,0.00520207,1.60895434,1.60894295,0.00070771,0.486133 µm.
1.61000000,0.00618566,0.00520207,1.60895434,1.60894295,0.00070771,0.486133 µm.
1.84000000,0.00378149,0.00249187,1.83880894,1.83879195,0.00092390,0.486133 µm.
1.84000000,0.00378149,0.00249187,1.83880894,1.83879195,0.00092390,0.486133 µm.
2.07000000,0.00106012,-0.00057868,2.06866512,2.06864094,0.00116864,0.486133 µm.
2.07000000,0.00106012,-0.00057868,2.06866512,2.06864094,0.00116864,0.486133 µm.
2.30000000,-0.00197724,-0.00400921,2.29852307,2.29848993,0.00144184,0.486133 µm.
2.30000000,-0.00197724,-0.00400921,2.29852307,2.29848993,0.00144184,0.486133 µm.
2.53000000,-0.00532922,-0.00779930,2.52838301,2.52833893,0.00174340,0.486133 µm.
2.53000000,-0.00532922,-0.00779930,2.52838301,2.52833893,0.00174340,0.486133 µm.
