Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.20529582,0.20529582,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.20529582,0.20529582,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.62000000,0.20482225,0.20492096,0.61784982,0.61784986,-0.00000603,0.486133 µm.
0.62000000,0.20482225,0.20492096,0.61784982,0.61784986,-0.00000603,0.486133 µm.
1.24000000,0.20344686,0.20379697,1.23569942,1.23569972,-0.00002410,0.486133 µm.
1.24000000,0.20344686,0.20379697,1.23569942,1.23569972,-0.00002410,0.486133 µm.
1.86000000,0.20117213,0.20192564,1.85354857,1.85354958,-0.00005419,0.486133 µm.
1.86000000,0.20117213,0.20192564,1.85354857,1.85354958,-0.00005419,0.486133 µm.
2.48000000,0.19800222,0.19930997,2.47139706,2.47139944,-0.00009627,0.486133 µm.
2.48000000,0.19800222,0.19930997,2.47139706,2.47139944,-0.00009627,0.486133 µm.
3.10000000,0.19394297,0.19595415,3.08924465,3.08924930,-0.00015026,0.486133 µm.
3.10000000,0.19394297,0.19595415,3.08924465,3.08924930,-0.00015026,0.486133 µm.
3.72000000,0.18900185,0.19186356,3.70709114,3.70709916,-0.00021610,0.486133 µm.
3.72000000,0.18900185,0.19186356,3.70709114,3.70709916,-0.00021610,0.486133 µm.
4.34000000,0.18318800,0.18704475,4.32493631,4.32494901,-0.00029370,0.486133 µm.
4.34000000,0.18318800,0.18704475,4.32493631,4.32494901,-0.00029370,0.486133 µm.
4.96000000,0.17651219,0.18150549,4.94277995,4.94279887,-0.00038294,0.486133 µm.
4.96000000,0.17651219,0.18150549,4.94277995,4.94279887,-0.00038294,0.486133 µm.
5.58000000,0.16898683,0.17525471,5.56062184,5.56064873,-0.00048370,0.486133 µm.
5.58000000,0.16898683,0.17525471,5.56062184,5.56064873,-0.00048370,0.486133 µm.
6.20000000,0.16062595,0.16830249,6.17846178,6.17849859,-0.00059585,0.486133 µm.
6.20000000,0.16062595,0.16830249,6.17846178,6.17849859,-0.00059585,0.486133 µm.
6.82000000,0.15144519,0.16066013,6.79629957,6.79634845,-0.00071922,0.486133 µm.
6.82000000,0.15144519,0.16066013,6.79629957,6.79634845,-0.00071922,0.486133 µm.
7.44000000,0.14146178,0.15234004,7.41413502,7.41419831,-0.00085363,0.486133 µm.
7.44000000,0.14146178,0.15234004,7.41413502,7.41419831,-0.00085363,0.486133 µm.
8.06000000,0.13069454,0.14335581,8.03196794,8.03204817,-0.00099890,0.486133 µm.
8.06000000,0.13069454,0.14335581,8.03196794,8.03204817,-0.00099890,0.486133 µm.
8.68000000,0.11916383,0.13372216,8.64979814,8.64989803,-0.00115482,0.486133 µm.
8.68000000,0.11916383,0.13372216,8.64979814,8.64989803,-0.00115482,0.486133 µm.
9.30000000,0.10689157,0.12345497,9.26762545,9.26774789,-0.00132116,0.486133 µm.
9.30000000,0.10689157,0.12345497,9.26762545,9.26774789,-0.00132116,0.486133 µm.
9.92000000,0.09390120,0.11257122,9.88544969,9.88559775,-0.00149769,0.486133 µm.
9.92000000,0.09390120,0.11257122,9.88544969,9.88559775,-0.00149769,0.486133 µm.
10.54000000,0.08021764,0.10108900,10.50327071,10.50344761,-0.00168413,0.486133 µm.
10.54000000,0.08021764,0.10108900,10.50327071,10.50344761,-0.00168413,0.486133 µm.
11.16000000,0.06586733,0.08902753,11.12108836,11.12129747,-0.00188023,0.486133 µm.
11.16000000,0.06586733,0.08902753,11.12108836,11.12129747,-0.00188023,0.486133 µm.
11.78000000,0.05087813,0.07640711,11.73890248,11.73914732,-0.00208567,0.486133 µm.
11.78000000,0.05087813,0.07640711,11.73890248,11.73914732,-0.00208567,0.486133 µm.
12.40000000,0.03527933,0.06324912,12.35671295,12.35699718,-0.00230017,0.486133 µm.
12.40000000,0.03527933,0.06324912,12.35671295,12.35699718,-0.00230017,0.486133 µm.
13.02000000,0.01910165,0.04957600,12.97451964,12.97484704,-0.00252338,0.486133 µm.
13.02000000,0.01910165,0.04957600,12.97451964,12.97484704,-0.00252338,0.486133 µm.
13.64000000,0.00237717,0.03541128,13.59232243,13.59269690,-0.00275497,0.486133 µm.
13.64000000,0.00237717,0.03541128,13.59232243,13.59269690,-0.00275497,0.486133 µm.
14.26000000,-0.01486070,0.02077948,14.21012122,14.21054676,-0.00299458,0.486133 µm.
14.26000000,-0.01486070,0.02077948,14.21012122,14.21054676,-0.00299458,0.486133 µm.
14.88000000,-0.03257719,0.00570620,14.82791591,14.82839662,-0.00324182,0.486133 µm.
14.88000000,-0.03257719,0.00570620,14.82791591,14.82839662,-0.00324182,0.486133 µm.
15.50000000,-0.05073629,-0.00978196,15.44570643,15.44624648,-0.00349631,0.486133 µm.
15.50000000,-0.05073629,-0.00978196,15.44570643,15.44624648,-0.00349631,0.486133 µm.
16.12000000,-0.06930071,-0.02565743,16.06349271,16.06409634,-0.00375762,0.486133 µm.
16.12000000,-0.06930071,-0.02565743,16.06349271,16.06409634,-0.00375762,0.486133 µm.
16.74000000,-0.08823194,-0.04189161,16.68127469,16.68194620,-0.00402534,0.486133 µm.
16.74000000,-0.08823194,-0.04189161,16.68127469,16.68194620,-0.00402534,0.486133 µm.
17.36000000,-0.10749027,-0.05845496,17.29905234,17.29979606,-0.00429902,0.486133 µm.
17.36000000,-0.10749027,-0.05845496,17.29905234,17.29979606,-0.00429902,0.486133 µm.
17.98000000,-0.12703488,-0.07531695,17.91682561,17.91764592,-0.00457818,0.486133 µm.
17.98000000,-0.12703488,-0.07531695,17.91682561,17.91764592,-0.00457818,0.486133 µm.
18.60000000,-0.14682378,-0.09244615,18.53459451,18.53549578,-0.00486235,0.486133 µm.
18.60000000,-0.14682378,-0.09244615,18.53459451,18.53549578,-0.00486235,0.486133 µm.
19.22000000,-0.16681393,-0.10981017,19.15235904,19.15334563,-0.00515103,0.486133 µm.
19.22000000,-0.16681393,-0.10981017,19.15235904,19.15334563,-0.00515103,0.486133 µm.
19.84000000,-0.18696124,-0.12737573,19.77011921,19.77119549,-0.00544369,0.486133 µm.
19.84000000,-0.18696124,-0.12737573,19.77011921,19.77119549,-0.00544369,0.486133 µm.
20.46000000,-0.20722062,-0.14510864,20.38787506,20.38904535,-0.00573981,0.486133 µm.
20.46000000,-0.20722062,-0.14510864,20.38787506,20.38904535,-0.00573981,0.486133 µm.
21.08000000,-0.22754600,-0.16297385,21.00562664,21.00689521,-0.00603881,0.486133 µm.
21.08000000,-0.22754600,-0.16297385,21.00562664,21.00689521,-0.00603881,0.486133 µm.
21.70000000,-0.24789040,-0.18093544,21.62337403,21.62474507,-0.00634014,0.486133 µm.
21.70000000,-0.24789040,-0.18093544,21.62337403,21.62474507,-0.00634014,0.486133 µm.
22.32000000,-0.26820596,-0.19895663,22.24111731,22.24259493,-0.00664320,0.486133 µm.
22.32000000,-0.26820596,-0.19895663,22.24111731,22.24259493,-0.00664320,0.486133 µm.
22.94000000,-0.28844396,-0.21699982,22.85885659,22.86044479,-0.00694737,0.486133 µm.
22.94000000,-0.28844396,-0.21699982,22.85885659,22.86044479,-0.00694737,0.486133 µm.
23.56000000,-0.30855489,-0.23502659,23.47659200,23.47829465,-0.00725203,0.486133 µm.
23.56000000,-0.30855489,-0.23502659,23.47659200,23.47829465,-0.00725203,0.486133 µm.
24.18000000,-0.32848849,-0.25299772,24.09432368,24.09614451,-0.00755652,0.486133 µm.
24.18000000,-0.32848849,-0.25299772,24.09432368,24.09614451,-0.00755652,0.486133 µm.
24.80000000,-0.34819376,-0.27087321,24.71205181,24.71399437,-0.00786017,0.486133 µm.
24.80000000,-0.34819376,-0.27087321,24.71205181,24.71399437,-0.00786017,0.486133 µm.
25.42000000,-0.36761908,-0.28861229,25.32977657,25.33184423,-0.00816229,0.486133 µm.
25.42000000,-0.36761908,-0.28861229,25.32977657,25.33184423,-0.00816229,0.486133 µm.
26.04000000,-0.38671216,-0.30617341,25.94749818,25.94969409,-0.00846218,0.486133 µm.
26.04000000,-0.38671216,-0.30617341,25.94749818,25.94969409,-0.00846218,0.486133 µm.
26.66000000,-0.40542017,-0.32351432,26.56521687,26.56754394,-0.00875909,0.486133 µm.
26.66000000,-0.40542017,-0.32351432,26.56521687,26.56754394,-0.00875909,0.486133 µm.
27.28000000,-0.42368973,-0.34059201,27.18293290,27.18539380,-0.00905229,0.486133 µm.
27.28000000,-0.42368973,-0.34059201,27.18293290,27.18539380,-0.00905229,0.486133 µm.
27.90000000,-0.44146700,-0.35736277,27.80064657,27.80324366,-0.00934098,0.486133 µm.
27.90000000,-0.44146700,-0.35736277,27.80064657,27.80324366,-0.00934098,0.486133 µm.
28.52000000,-0.45869769,-0.37378219,28.41835817,28.42109352,-0.00962438,0.486133 µm.
28.52000000,-0.45869769,-0.37378219,28.41835817,28.42109352,-0.00962438,0.486133 µm.
29.14000000,-0.47532715,-0.38980517,29.03606804,29.03894338,-0.00990168,0.486133 µm.
29.14000000,-0.47532715,-0.38980517,29.03606804,29.03894338,-0.00990168,0.486133 µm.
29.76000000,-0.49130038,-0.40538595,29.65377655,29.65679324,-0.01017202,0.486133 µm.
29.76000000,-0.49130038,-0.40538595,29.65377655,29.65679324,-0.01017202,0.486133 µm.
30.38000000,-0.50656213,-0.42047809,30.27148408,30.27464310,-0.01043456,0.486133 µm.
30.38000000,-0.50656213,-0.42047809,30.27148408,30.27464310,-0.01043456,0.486133 µm.
31.00000000,-0.52105691,-0.43503451,30.88919105,30.89249296,-0.01068839,0.486133 µm.
31.00000000,-0.52105691,-0.43503451,30.88919105,30.89249296,-0.01068839,0.486133 µm.
31.62000000,-0.53472905,-0.44900750,31.50689791,31.51034282,-0.01093262,0.486133 µm.
31.62000000,-0.53472905,-0.44900750,31.50689791,31.51034282,-0.01093262,0.486133 µm.
32.24000000,-0.54752279,-0.46234871,32.12460514,32.12819268,-0.01116632,0.486133 µm.
32.24000000,-0.54752279,-0.46234871,32.12460514,32.12819268,-0.01116632,0.486133 µm.
32.86000000,-0.55938231,-0.47500918,32.74231325,32.74604254,-0.01138852,0.486133 µm.
32.86000000,-0.55938231,-0.47500918,32.74231325,32.74604254,-0.01138852,0.486133 µm.
33.48000000,-0.57025178,-0.48693934,33.36002277,33.36389240,-0.01159824,0.486133 µm.
33.48000000,-0.57025178,-0.48693934,33.36002277,33.36389240,-0.01159824,0.486133 µm.
34.10000000,-0.58007544,-0.49808903,33.97773428,33.98174226,-0.01179448,0.486133 µm.
34.10000000,-0.58007544,-0.49808903,33.97773428,33.98174226,-0.01179448,0.486133 µm.
34.72000000,-0.58879765,-0.50840749,34.59544839,34.59959211,-0.01197621,0.486133 µm.
34.72000000,-0.58879765,-0.50840749,34.59544839,34.59959211,-0.01197621,0.486133 µm.
35.34000000,-0.59636297,-0.51784338,35.21316574,35.21744197,-0.01214236,0.486133 µm.
35.34000000,-0.59636297,-0.51784338,35.21316574,35.21744197,-0.01214236,0.486133 µm.
35.96000000,-0.60271618,-0.52634478,35.83088701,35.83529183,-0.01229186,0.486133 µm.
35.96000000,-0.60271618,-0.52634478,35.83088701,35.83529183,-0.01229186,0.486133 µm.
36.58000000,-0.60780242,-0.53385922,36.44861290,36.45314169,-0.01242359,0.486133 µm.
36.58000000,-0.60780242,-0.53385922,36.44861290,36.45314169,-0.01242359,0.486133 µm.
37.20000000,-0.61156719,-0.54033365,37.06634418,37.07099155,-0.01253642,0.486133 µm.
37.20000000,-0.61156719,-0.54033365,37.06634418,37.07099155,-0.01253642,0.486133 µm.
37.82000000,-0.61395645,-0.54571446,37.68408162,37.68884141,-0.01262917,0.486133 µm.
37.82000000,-0.61395645,-0.54571446,37.68408162,37.68884141,-0.01262917,0.486133 µm.
38.44000000,-0.61491670,-0.54994750,38.30182607,38.30669127,-0.01270066,0.486133 µm.
38.44000000,-0.61491670,-0.54994750,38.30182607,38.30669127,-0.01270066,0.486133 µm.
39.06000000,-0.61439506,-0.55297806,38.91957838,38.92454113,-0.01274966,0.486133 µm.
39.06000000,-0.61439506,-0.55297806,38.91957838,38.92454113,-0.01274966,0.486133 µm.
39.68000000,-0.61233932,-0.55475087,39.53733948,39.54239099,-0.01277493,0.486133 µm.
39.68000000,-0.61233932,-0.55475087,39.53733948,39.54239099,-0.01277493,0.486133 µm.
40.30000000,-0.60869805,-0.55521014,40.15511030,40.16024085,-0.01277518,0.486133 µm.
40.30000000,-0.60869805,-0.55521014,40.15511030,40.16024085,-0.01277518,0.486133 µm.
40.92000000,-0.60342067,-0.55429951,40.77289187,40.77809071,-0.01274910,0.486133 µm.
40.92000000,-0.60342067,-0.55429951,40.77289187,40.77809071,-0.01274910,0.486133 µm.
41.54000000,-0.59645756,-0.55196208,41.39068520,41.39594057,-0.01269536,0.486133 µm.
41.54000000,-0.59645756,-0.55196208,41.39068520,41.39594057,-0.01269536,0.486133 µm.
