Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.04692476,0.04692476,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.04692476,0.04692476,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00572794,0.04692311,0.04692395,0.00999759,0.00999759,0.00000007,0.486133 µm.
0.00572794,0.04692311,0.04692395,0.00999759,0.00999759,0.00000007,0.486133 µm.
0.01145588,0.04691810,0.04692153,0.01999518,0.01999518,0.00000030,0.486133 µm.
0.01145588,0.04691810,0.04692153,0.01999518,0.01999518,0.00000030,0.486133 µm.
0.01718383,0.04690972,0.04691749,0.02999278,0.02999278,0.00000067,0.486133 µm.
0.01718383,0.04690972,0.04691749,0.02999278,0.02999278,0.00000067,0.486133 µm.
0.02291177,0.04689798,0.04691183,0.03999037,0.03999037,0.00000119,0.486133 µm.
0.02291177,0.04689798,0.04691183,0.03999037,0.03999037,0.00000119,0.486133 µm.
0.02863971,0.04688287,0.04690456,0.04998797,0.04998797,0.00000186,0.486133 µm.
0.02863971,0.04688287,0.04690456,0.04998797,0.04998797,0.00000186,0.486133 µm.
0.03436765,0.04686440,0.04689568,0.05998556,0.05998556,0.00000267,0.486133 µm.
0.03436765,0.04686440,0.04689568,0.05998556,0.05998556,0.00000267,0.486133 µm.
0.04009560,0.04684257,0.04688518,0.06998316,0.06998316,0.00000364,0.486133 µm.
0.04009560,0.04684257,0.04688518,0.06998316,0.06998316,0.00000364,0.486133 µm.
0.04582354,0.04681737,0.04687306,0.07998076,0.07998076,0.00000475,0.486133 µm.
0.04582354,0.04681737,0.04687306,0.07998076,0.07998076,0.00000475,0.486133 µm.
0.05155148,0.04678881,0.04685933,0.08997836,0.08997835,0.00000601,0.486133 µm.
0.05155148,0.04678881,0.04685933,0.08997836,0.08997835,0.00000601,0.486133 µm.
0.05727942,0.04675689,0.04684398,0.09997596,0.09997596,0.00000742,0.486133 µm.
0.05727942,0.04675689,0.04684398,0.09997596,0.09997596,0.00000742,0.486133 µm.
0.06300737,0.04672160,0.04682702,0.10997357,0.10997356,0.00000898,0.486133 µm.
0.06300737,0.04672160,0.04682702,0.10997357,0.10997356,0.00000898,0.486133 µm.
0.06873531,0.04668294,0.04680844,0.11997118,0.11997116,0.00001069,0.486133 µm.
0.06873531,0.04668294,0.04680844,0.11997118,0.11997116,0.00001069,0.486133 µm.
0.07446325,0.04664093,0.04678824,0.12996879,0.12996877,0.00001254,0.486133 µm.
0.07446325,0.04664093,0.04678824,0.12996879,0.12996877,0.00001254,0.486133 µm.
0.08019119,0.04659554,0.04676643,0.13996640,0.13996638,0.00001454,0.486133 µm.
0.08019119,0.04659554,0.04676643,0.13996640,0.13996638,0.00001454,0.486133 µm.
0.08591914,0.04654680,0.04674301,0.14996402,0.14996400,0.00001670,0.486133 µm.
0.08591914,0.04654680,0.04674301,0.14996402,0.14996400,0.00001670,0.486133 µm.
0.09164708,0.04649469,0.04671797,0.15996164,0.15996161,0.00001900,0.486133 µm.
0.09164708,0.04649469,0.04671797,0.15996164,0.15996161,0.00001900,0.486133 µm.
0.09737502,0.04643921,0.04669131,0.16995927,0.16995923,0.00002145,0.486133 µm.
0.09737502,0.04643921,0.04669131,0.16995927,0.16995923,0.00002145,0.486133 µm.
0.10310296,0.04638037,0.04666304,0.17995690,0.17995686,0.00002404,0.486133 µm.
0.10310296,0.04638037,0.04666304,0.17995690,0.17995686,0.00002404,0.486133 µm.
0.10883090,0.04631817,0.04663315,0.18995453,0.18995448,0.00002679,0.486133 µm.
0.10883090,0.04631817,0.04663315,0.18995453,0.18995448,0.00002679,0.486133 µm.
0.11455885,0.04625260,0.04660165,0.19995217,0.19995211,0.00002968,0.486133 µm.
0.11455885,0.04625260,0.04660165,0.19995217,0.19995211,0.00002968,0.486133 µm.
0.12028679,0.04618367,0.04656853,0.20994981,0.20994975,0.00003272,0.486133 µm.
0.12028679,0.04618367,0.04656853,0.20994981,0.20994975,0.00003272,0.486133 µm.
0.12601473,0.04611138,0.04653380,0.21994746,0.21994738,0.00003592,0.486133 µm.
0.12601473,0.04611138,0.04653380,0.21994746,0.21994738,0.00003592,0.486133 µm.
0.13174267,0.04603572,0.04649745,0.22994512,0.22994503,0.00003926,0.486133 µm.
0.13174267,0.04603572,0.04649745,0.22994512,0.22994503,0.00003926,0.486133 µm.
0.13747062,0.04595670,0.04645948,0.23994278,0.23994267,0.00004274,0.486133 µm.
0.13747062,0.04595670,0.04645948,0.23994278,0.23994267,0.00004274,0.486133 µm.
0.14319856,0.04587431,0.04641990,0.24994044,0.24994033,0.00004638,0.486133 µm.
0.14319856,0.04587431,0.04641990,0.24994044,0.24994033,0.00004638,0.486133 µm.
0.14892650,0.04578856,0.04637870,0.25993811,0.25993798,0.00005016,0.486133 µm.
0.14892650,0.04578856,0.04637870,0.25993811,0.25993798,0.00005016,0.486133 µm.
0.15465444,0.04569944,0.04633589,0.26993579,0.26993565,0.00005410,0.486133 µm.
0.15465444,0.04569944,0.04633589,0.26993579,0.26993565,0.00005410,0.486133 µm.
0.16038239,0.04560696,0.04629146,0.27993348,0.27993331,0.00005818,0.486133 µm.
0.16038239,0.04560696,0.04629146,0.27993348,0.27993331,0.00005818,0.486133 µm.
0.16611033,0.04551112,0.04624542,0.28993117,0.28993099,0.00006241,0.486133 µm.
0.16611033,0.04551112,0.04624542,0.28993117,0.28993099,0.00006241,0.486133 µm.
0.17183827,0.04541191,0.04619776,0.29992887,0.29992867,0.00006679,0.486133 µm.
0.17183827,0.04541191,0.04619776,0.29992887,0.29992867,0.00006679,0.486133 µm.
0.17756621,0.04530934,0.04614849,0.30992657,0.30992635,0.00007131,0.486133 µm.
0.17756621,0.04530934,0.04614849,0.30992657,0.30992635,0.00007131,0.486133 µm.
0.18329415,0.04520341,0.04609760,0.31992429,0.31992404,0.00007599,0.486133 µm.
0.18329415,0.04520341,0.04609760,0.31992429,0.31992404,0.00007599,0.486133 µm.
0.18902210,0.04509411,0.04604509,0.32992201,0.32992174,0.00008081,0.486133 µm.
0.18902210,0.04509411,0.04604509,0.32992201,0.32992174,0.00008081,0.486133 µm.
0.19475004,0.04498144,0.04599097,0.33991974,0.33991945,0.00008578,0.486133 µm.
0.19475004,0.04498144,0.04599097,0.33991974,0.33991945,0.00008578,0.486133 µm.
0.20047798,0.04486542,0.04593524,0.34991748,0.34991716,0.00009090,0.486133 µm.
0.20047798,0.04486542,0.04593524,0.34991748,0.34991716,0.00009090,0.486133 µm.
0.20620592,0.04474602,0.04587789,0.35991522,0.35991488,0.00009617,0.486133 µm.
0.20620592,0.04474602,0.04587789,0.35991522,0.35991488,0.00009617,0.486133 µm.
0.21193387,0.04462327,0.04581892,0.36991298,0.36991260,0.00010159,0.486133 µm.
0.21193387,0.04462327,0.04581892,0.36991298,0.36991260,0.00010159,0.486133 µm.
0.21766181,0.04449715,0.04575834,0.37991074,0.37991033,0.00010715,0.486133 µm.
0.21766181,0.04449715,0.04575834,0.37991074,0.37991033,0.00010715,0.486133 µm.
0.22338975,0.04436767,0.04569614,0.38990851,0.38990807,0.00011287,0.486133 µm.
0.22338975,0.04436767,0.04569614,0.38990851,0.38990807,0.00011287,0.486133 µm.
0.22911769,0.04423482,0.04563232,0.39990630,0.39990582,0.00011873,0.486133 µm.
0.22911769,0.04423482,0.04563232,0.39990630,0.39990582,0.00011873,0.486133 µm.
0.23484564,0.04409861,0.04556690,0.40990409,0.40990358,0.00012474,0.486133 µm.
0.23484564,0.04409861,0.04556690,0.40990409,0.40990358,0.00012474,0.486133 µm.
0.24057358,0.04395903,0.04549985,0.41990189,0.41990134,0.00013090,0.486133 µm.
0.24057358,0.04395903,0.04549985,0.41990189,0.41990134,0.00013090,0.486133 µm.
0.24630152,0.04381609,0.04543119,0.42989971,0.42989912,0.00013721,0.486133 µm.
0.24630152,0.04381609,0.04543119,0.42989971,0.42989912,0.00013721,0.486133 µm.
