Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.16890411,0.16890411,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.16890411,0.16890411,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.04270000,0.16889370,0.16888254,0.21611207,0.21611143,0.00030031,0.486133 µm.
0.04270000,0.16889370,0.16888254,0.21611207,0.21611143,0.00030031,0.486133 µm.
0.08540000,0.16886755,0.16881782,0.43222828,0.43222309,0.00120127,0.486133 µm.
0.08540000,0.16886755,0.16881782,0.43222828,0.43222309,0.00120127,0.486133 µm.
0.12810000,0.16882563,0.16870999,0.64835276,0.64833524,0.00270290,0.486133 µm.
0.12810000,0.16882563,0.16870999,0.64835276,0.64833524,0.00270290,0.486133 µm.
0.17080000,0.16876788,0.16855910,0.86448964,0.86444810,0.00480527,0.486133 µm.
0.17080000,0.16876788,0.16855910,0.86448964,0.86444810,0.00480527,0.486133 µm.
0.21350000,0.16869422,0.16836519,1.08064306,1.08056193,0.00750849,0.486133 µm.
0.21350000,0.16869422,0.16836519,1.08064306,1.08056193,0.00750849,0.486133 µm.
0.25620000,0.16860455,0.16812837,1.29681716,1.29667696,0.01081266,0.486133 µm.
0.25620000,0.16860455,0.16812837,1.29681716,1.29667696,0.01081266,0.486133 µm.
0.29890000,0.16849873,0.16784873,1.51301607,1.51279342,0.01471793,0.486133 µm.
0.29890000,0.16849873,0.16784873,1.51301607,1.51279342,0.01471793,0.486133 µm.
0.34160000,0.16837662,0.16752638,1.72924394,1.72891157,0.01922446,0.486133 µm.
0.34160000,0.16837662,0.16752638,1.72924394,1.72891157,0.01922446,0.486133 µm.
0.38430000,0.16823802,0.16716147,1.94550491,1.94503164,0.02433247,0.486133 µm.
0.38430000,0.16823802,0.16716147,1.94550491,1.94503164,0.02433247,0.486133 µm.
0.42700000,0.16808273,0.16675415,2.16180312,2.16115387,0.03004216,0.486133 µm.
0.42700000,0.16808273,0.16675415,2.16180312,2.16115387,0.03004216,0.486133 µm.
0.46970000,0.16791051,0.16630460,2.37814273,2.37727850,0.03635377,0.486133 µm.
0.46970000,0.16791051,0.16630460,2.37814273,2.37727850,0.03635377,0.486133 µm.
0.51240000,0.16772109,0.16581301,2.59452787,2.59340577,0.04326760,0.486133 µm.
0.51240000,0.16772109,0.16581301,2.59452787,2.59340577,0.04326760,0.486133 µm.
0.55510000,0.16751418,0.16527959,2.81096271,2.80953592,0.05078391,0.486133 µm.
0.55510000,0.16751418,0.16527959,2.81096271,2.80953592,0.05078391,0.486133 µm.
0.59780000,0.16728943,0.16470456,3.02745140,3.02566919,0.05890304,0.486133 µm.
0.59780000,0.16728943,0.16470456,3.02745140,3.02566919,0.05890304,0.486133 µm.
0.64050000,0.16704649,0.16408819,3.24399811,3.24180582,0.06762533,0.486133 µm.
0.64050000,0.16704649,0.16408819,3.24399811,3.24180582,0.06762533,0.486133 µm.
0.68320000,0.16678495,0.16343073,3.46060699,3.45794606,0.07695114,0.486133 µm.
0.68320000,0.16678495,0.16343073,3.46060699,3.45794606,0.07695114,0.486133 µm.
0.72590000,0.16650438,0.16273248,3.67728222,3.67409014,0.08688085,0.486133 µm.
0.72590000,0.16650438,0.16273248,3.67728222,3.67409014,0.08688085,0.486133 µm.
0.76860000,0.16620431,0.16199373,3.89402797,3.89023830,0.09741489,0.486133 µm.
0.76860000,0.16620431,0.16199373,3.89402797,3.89023830,0.09741489,0.486133 µm.
0.81130000,0.16588422,0.16121481,4.11084841,4.10639078,0.10855366,0.486133 µm.
0.81130000,0.16588422,0.16121481,4.11084841,4.10639078,0.10855366,0.486133 µm.
0.85400000,0.16554355,0.16039607,4.32774774,4.32254782,0.12029764,0.486133 µm.
0.85400000,0.16554355,0.16039607,4.32774774,4.32254782,0.12029764,0.486133 µm.
0.89670000,0.16518169,0.15953786,4.54473014,4.53870967,0.13264727,0.486133 µm.
0.89670000,0.16518169,0.15953786,4.54473014,4.53870967,0.13264727,0.486133 µm.
0.93940000,0.16479800,0.15864057,4.76179980,4.75487655,0.14560306,0.486133 µm.
0.93940000,0.16479800,0.15864057,4.76179980,4.75487655,0.14560306,0.486133 µm.
0.98210000,0.16439177,0.15770460,4.97896092,4.97104873,0.15916552,0.486133 µm.
0.98210000,0.16439177,0.15770460,4.97896092,4.97104873,0.15916552,0.486133 µm.
1.02480000,0.16396225,0.15673036,5.19621771,5.18722642,0.17333515,0.486133 µm.
1.02480000,0.16396225,0.15673036,5.19621771,5.18722642,0.17333515,0.486133 µm.
1.06750000,0.16350861,0.15571829,5.41357437,5.40340988,0.18811251,0.486133 µm.
1.06750000,0.16350861,0.15571829,5.41357437,5.40340988,0.18811251,0.486133 µm.
1.11020000,0.16303001,0.15466886,5.63103513,5.61959934,0.20349815,0.486133 µm.
1.11020000,0.16303001,0.15466886,5.63103513,5.61959934,0.20349815,0.486133 µm.
1.15290000,0.16252548,0.15358253,5.84860419,5.83579505,0.21949263,0.486133 µm.
1.15290000,0.16252548,0.15358253,5.84860419,5.83579505,0.21949263,0.486133 µm.
1.19560000,0.16199405,0.15245982,6.06628580,6.05199725,0.23609654,0.486133 µm.
1.19560000,0.16199405,0.15245982,6.06628580,6.05199725,0.23609654,0.486133 µm.
1.23830000,0.16143463,0.15130122,6.28408419,6.26820617,0.25331048,0.486133 µm.
1.23830000,0.16143463,0.15130122,6.28408419,6.26820617,0.25331048,0.486133 µm.
1.28100000,0.16084607,0.15010728,6.50200359,6.48442205,0.27113504,0.486133 µm.
1.28100000,0.16084607,0.15010728,6.50200359,6.48442205,0.27113504,0.486133 µm.
1.32370000,0.16022716,0.14887856,6.72004826,6.70064514,0.28957084,0.486133 µm.
1.32370000,0.16022716,0.14887856,6.72004826,6.70064514,0.28957084,0.486133 µm.
1.36640000,0.15957658,0.14761562,6.93822244,6.91687568,0.30861850,0.486133 µm.
1.36640000,0.15957658,0.14761562,6.93822244,6.91687568,0.30861850,0.486133 µm.
1.40910000,0.15889293,0.14631908,7.15653040,7.13311391,0.32827864,0.486133 µm.
1.40910000,0.15889293,0.14631908,7.15653040,7.13311391,0.32827864,0.486133 µm.
1.45180000,0.15817472,0.14498953,7.37497640,7.34936006,0.34855190,0.486133 µm.
1.45180000,0.15817472,0.14498953,7.37497640,7.34936006,0.34855190,0.486133 µm.
1.49450000,0.15742037,0.14362762,7.59356471,7.56561439,0.36943891,0.486133 µm.
1.49450000,0.15742037,0.14362762,7.59356471,7.56561439,0.36943891,0.486133 µm.
1.53720000,0.15662816,0.14223400,7.81229961,7.78187712,0.39094030,0.486133 µm.
1.53720000,0.15662816,0.14223400,7.81229961,7.78187712,0.39094030,0.486133 µm.
1.57990000,0.15579631,0.14080935,8.03118539,7.99814850,0.41305670,0.486133 µm.
1.57990000,0.15579631,0.14080935,8.03118539,7.99814850,0.41305670,0.486133 µm.
1.62260000,0.15492287,0.13935436,8.25022633,8.21442878,0.43578875,0.486133 µm.
1.62260000,0.15492287,0.13935436,8.25022633,8.21442878,0.43578875,0.486133 µm.
1.66530000,0.15400581,0.13786976,8.46942674,8.43071819,0.45913706,0.486133 µm.
1.66530000,0.15400581,0.13786976,8.46942674,8.43071819,0.45913706,0.486133 µm.
