Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.05637632,-0.05637632,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.05637632,-0.05637632,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.37500000,-0.05629854,-0.05638624,0.18594964,0.18595029,-0.00034795,0.486133 µm.
0.37500000,-0.05629854,-0.05638624,0.18594964,0.18595029,-0.00034795,0.486133 µm.
0.75000000,-0.05606654,-0.05641607,0.37191230,0.37191650,-0.00113042,0.486133 µm.
0.75000000,-0.05606654,-0.05641607,0.37191230,0.37191650,-0.00113042,0.486133 µm.
1.12500000,-0.05568150,-0.05646595,0.55790101,0.55791459,-0.00243402,0.486133 µm.
1.12500000,-0.05568150,-0.05646595,0.55790101,0.55791459,-0.00243402,0.486133 µm.
1.50000000,-0.05514541,-0.05653613,0.74392882,0.74396050,-0.00425776,0.486133 µm.
1.50000000,-0.05514541,-0.05653613,0.74392882,0.74396050,-0.00425776,0.486133 µm.
1.87500000,-0.05446106,-0.05662695,0.93000880,0.93007019,-0.00660034,0.486133 µm.
1.87500000,-0.05446106,-0.05662695,0.93000880,0.93007019,-0.00660034,0.486133 µm.
2.25000000,-0.05363199,-0.05673886,1.11615405,1.11625965,-0.00946012,0.486133 µm.
2.25000000,-0.05363199,-0.05673886,1.11615405,1.11625965,-0.00946012,0.486133 µm.
2.62500000,-0.05266251,-0.05687239,1.30237771,1.30254489,-0.01283507,0.486133 µm.
2.62500000,-0.05266251,-0.05687239,1.30237771,1.30254489,-0.01283507,0.486133 µm.
3.00000000,-0.05155767,-0.05702815,1.48869297,1.48894197,-0.01672281,0.486133 µm.
3.00000000,-0.05155767,-0.05702815,1.48869297,1.48894197,-0.01672281,0.486133 µm.
3.37500000,-0.05032324,-0.05720686,1.67511309,1.67546696,-0.02112064,0.486133 µm.
3.37500000,-0.05032324,-0.05720686,1.67511309,1.67546696,-0.02112064,0.486133 µm.
3.75000000,-0.04896567,-0.05740930,1.86165137,1.86213600,-0.02602547,0.486133 µm.
