Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.21411091,0.21411091,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.21411091,0.21411091,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.11000000,0.21525740,0.21408015,0.98418898,0.98418887,0.00001043,0.486133 µm.
0.11000000,0.21525740,0.21408015,0.98418898,0.98418887,0.00001043,0.486133 µm.
0.22000000,0.21889126,0.21398800,1.96838582,1.96838500,0.00004160,0.486133 µm.
0.22000000,0.21889126,0.21398800,1.96838582,1.96838500,0.00004160,0.486133 µm.
0.33000000,0.22501380,0.21383482,2.95259839,2.95259564,0.00009320,0.486133 µm.
0.33000000,0.22501380,0.21383482,2.95259839,2.95259564,0.00009320,0.486133 µm.
0.44000000,0.23362727,0.21362119,3.93683453,3.93682805,0.00016470,0.486133 µm.
0.44000000,0.23362727,0.21362119,3.93683453,3.93682805,0.00016470,0.486133 µm.
0.55000000,0.24473478,0.21334794,4.92110204,4.92108948,0.00025534,0.486133 µm.
0.55000000,0.24473478,0.21334794,4.92110204,4.92108948,0.00025534,0.486133 µm.
0.66000000,0.25834036,0.21301614,5.90540869,5.90538719,0.00036417,0.486133 µm.
0.66000000,0.25834036,0.21301614,5.90540869,5.90538719,0.00036417,0.486133 µm.
0.77000000,0.27444890,0.21262710,6.88976219,6.88972843,0.00049000,0.486133 µm.
0.77000000,0.27444890,0.21262710,6.88976219,6.88972843,0.00049000,0.486133 µm.
0.88000000,0.29306620,0.21218236,7.87417020,7.87412048,0.00063145,0.486133 µm.
0.88000000,0.29306620,0.21218236,7.87417020,7.87412048,0.00063145,0.486133 µm.
0.99000000,0.31419895,0.21168369,8.85864030,8.85857059,0.00078691,0.486133 µm.
0.99000000,0.31419895,0.21168369,8.85864030,8.85857059,0.00078691,0.486133 µm.
1.10000000,0.33785470,0.21113313,9.84317997,9.84308602,0.00095454,0.486133 µm.
1.10000000,0.33785470,0.21113313,9.84317997,9.84308602,0.00095454,0.486133 µm.
1.21000000,0.36404190,0.21053294,10.82779664,10.82767403,0.00113232,0.486133 µm.
