Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,3.37217870,3.37217870,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,3.37217870,3.37217870,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.15000000,3.37206726,3.37192740,1.44542151,1.44543277,-0.00077921,0.486133 µm.
0.15000000,3.37206726,3.37192740,1.44542151,1.44543277,-0.00077921,0.486133 µm.
0.30000000,3.37169084,3.37117361,2.89085527,2.89088535,-0.00104078,0.486133 µm.
0.30000000,3.37169084,3.37117361,2.89085527,2.89088535,-0.00104078,0.486133 µm.
0.45000000,3.37104957,3.36991763,4.33631353,4.33637757,-0.00147672,0.486133 µm.
0.45000000,3.37104957,3.36991763,4.33631353,4.33637757,-0.00147672,0.486133 µm.
0.60000000,3.37014362,3.36815998,5.78180856,5.78192923,-0.00208697,0.486133 µm.
0.60000000,3.37014362,3.36815998,5.78180856,5.78192923,-0.00208697,0.486133 µm.
0.75000000,3.36897327,3.36590137,7.22735261,7.22756015,-0.00287149,0.486133 µm.
0.75000000,3.36897327,3.36590137,7.22735261,7.22756015,-0.00287149,0.486133 µm.
0.90000000,3.36753889,3.36314272,8.67295796,8.67329017,-0.00383020,0.486133 µm.
0.90000000,3.36753889,3.36314272,8.67295796,8.67329017,-0.00383020,0.486133 µm.
1.05000000,3.36584090,3.35988515,10.11863689,10.11913911,-0.00496301,0.486133 µm.
1.05000000,3.36584090,3.35988515,10.11863689,10.11913911,-0.00496301,0.486133 µm.
1.20000000,3.36387984,3.35613001,11.56440168,11.56512680,-0.00626993,0.486133 µm.
1.20000000,3.36387984,3.35613001,11.56440168,11.56512680,-0.00626993,0.486133 µm.
1.35000000,3.36165630,3.35187882,13.01026465,13.01127310,-0.00775063,0.486133 µm.
1.35000000,3.36165630,3.35187882,13.01026465,13.01127310,-0.00775063,0.486133 µm.
1.50000000,3.35917097,3.34713332,14.45623811,14.45759786,-0.00940509,0.486133 µm.
1.50000000,3.35917097,3.34713332,14.45623811,14.45759786,-0.00940509,0.486133 µm.
1.65000000,3.35642462,3.34189546,15.90233440,15.90412093,-0.01123314,0.486133 µm.
1.65000000,3.35642462,3.34189546,15.90233440,15.90412093,-0.01123314,0.486133 µm.
1.80000000,3.35341810,3.33616741,17.34856587,17.35086219,-0.01323463,0.486133 µm.
1.80000000,3.35341810,3.33616741,17.34856587,17.35086219,-0.01323463,0.486133 µm.
1.95000000,3.35015232,3.32995151,18.79494491,18.79784154,-0.01540937,0.486133 µm.
1.95000000,3.35015232,3.32995151,18.79494491,18.79784154,-0.01540937,0.486133 µm.
2.10000000,3.34662830,3.32325033,20.24148391,20.24507886,-0.01775715,0.486133 µm.
2.10000000,3.34662830,3.32325033,20.24148391,20.24507886,-0.01775715,0.486133 µm.
2.25000000,3.34284712,3.31606666,21.68819529,21.69259406,-0.02027777,0.486133 µm.
2.25000000,3.34284712,3.31606666,21.68819529,21.69259406,-0.02027777,0.486133 µm.
2.40000000,3.33880994,3.30840347,23.13509151,23.14040709,-0.02297098,0.486133 µm.
2.40000000,3.33880994,3.30840347,23.13509151,23.14040709,-0.02297098,0.486133 µm.
2.55000000,3.33451801,3.30026396,24.58218505,24.58853788,-0.02583654,0.486133 µm.
2.55000000,3.33451801,3.30026396,24.58218505,24.58853788,-0.02583654,0.486133 µm.
2.70000000,3.32997262,3.29165153,26.02948842,26.03700639,-0.02887418,0.486133 µm.
2.70000000,3.32997262,3.29165153,26.02948842,26.03700639,-0.02887418,0.486133 µm.
2.85000000,3.32517518,3.28256979,27.47701416,27.48583261,-0.03208362,0.486133 µm.
2.85000000,3.32517518,3.28256979,27.47701416,27.48583261,-0.03208362,0.486133 µm.
3.00000000,3.32012715,3.27302257,28.92477486,28.93503654,-0.03546454,0.486133 µm.
3.00000000,3.32012715,3.27302257,28.92477486,28.93503654,-0.03546454,0.486133 µm.
3.15000000,3.31483006,3.26301390,30.37278312,30.38463819,-0.03901664,0.486133 µm.
3.15000000,3.31483006,3.26301390,30.37278312,30.38463819,-0.03901664,0.486133 µm.
3.30000000,3.30928551,3.25254803,31.82105162,31.83465761,-0.04273956,0.486133 µm.
3.30000000,3.30928551,3.25254803,31.82105162,31.83465761,-0.04273956,0.486133 µm.
3.45000000,3.30349519,3.24162941,33.26959303,33.28511486,-0.04663295,0.486133 µm.
3.45000000,3.30349519,3.24162941,33.26959303,33.28511486,-0.04663295,0.486133 µm.
3.60000000,3.29746085,3.23026273,34.71842011,34.73603004,-0.05069644,0.486133 µm.
3.60000000,3.29746085,3.23026273,34.71842011,34.73603004,-0.05069644,0.486133 µm.
3.75000000,3.29118429,3.21845287,36.16754565,36.18742327,-0.05492963,0.486133 µm.
3.75000000,3.29118429,3.21845287,36.16754565,36.18742327,-0.05492963,0.486133 µm.
3.90000000,3.28466739,3.20620493,37.61698247,37.63931467,-0.05933210,0.486133 µm.
3.90000000,3.28466739,3.20620493,37.61698247,37.63931467,-0.05933210,0.486133 µm.
4.05000000,3.27791210,3.19352424,39.06674348,39.09172443,-0.06390342,0.486133 µm.
4.05000000,3.27791210,3.19352424,39.06674348,39.09172443,-0.06390342,0.486133 µm.
4.20000000,3.27092042,3.18041633,40.51684160,40.54467273,-0.06864314,0.486133 µm.
4.20000000,3.27092042,3.18041633,40.51684160,40.54467273,-0.06864314,0.486133 µm.
4.35000000,3.26369443,3.16688697,41.96728983,41.99817982,-0.07355077,0.486133 µm.
4.35000000,3.26369443,3.16688697,41.96728983,41.99817982,-0.07355077,0.486133 µm.
4.50000000,3.25623623,3.15294213,43.41810123,43.45226594,-0.07862583,0.486133 µm.
4.50000000,3.25623623,3.15294213,43.41810123,43.45226594,-0.07862583,0.486133 µm.
4.65000000,3.24854803,3.13858801,44.86928891,44.90695138,-0.08386780,0.486133 µm.
4.65000000,3.24854803,3.13858801,44.86928891,44.90695138,-0.08386780,0.486133 µm.
4.80000000,3.24063205,3.12383104,46.32086605,46.36225648,-0.08927613,0.486133 µm.
4.80000000,3.24063205,3.12383104,46.32086605,46.36225648,-0.08927613,0.486133 µm.
4.95000000,3.23249059,3.10867786,47.77284588,47.81820158,-0.09485028,0.486133 µm.
4.95000000,3.23249059,3.10867786,47.77284588,47.81820158,-0.09485028,0.486133 µm.
5.10000000,3.22412598,3.09313533,49.22524173,49.27480709,-0.10058965,0.486133 µm.
5.10000000,3.22412598,3.09313533,49.22524173,49.27480709,-0.10058965,0.486133 µm.
5.25000000,3.21554062,3.07721057,50.67806697,50.73209342,-0.10649364,0.486133 µm.
5.25000000,3.21554062,3.07721057,50.67806697,50.73209342,-0.10649364,0.486133 µm.
5.40000000,3.20673693,3.06091089,52.13133506,52.19008106,-0.11256162,0.486133 µm.
5.40000000,3.20673693,3.06091089,52.13133506,52.19008106,-0.11256162,0.486133 µm.
5.55000000,3.19771739,3.04424385,53.58505953,53.64879050,-0.11879294,0.486133 µm.
5.55000000,3.19771739,3.04424385,53.58505953,53.64879050,-0.11879294,0.486133 µm.
