Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.61380918,0.61380918,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.61380918,0.61380918,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.36538379,0.61385602,0.61378835,0.17487404,0.17487306,0.00056060,0.486133 µm.
0.36538379,0.61385602,0.61378835,0.17487404,0.17487306,0.00056060,0.486133 µm.
0.73076759,0.61398874,0.61372590,0.34976185,0.34976035,0.00042892,0.486133 µm.
0.73076759,0.61398874,0.61372590,0.34976185,0.34976035,0.00042892,0.486133 µm.
1.09615138,0.61420734,0.61362198,0.52467720,0.52467609,0.00021109,0.486133 µm.
1.09615138,0.61420734,0.61362198,0.52467720,0.52467609,0.00021109,0.486133 µm.
1.46153518,0.61451182,0.61347684,0.69963388,0.69963452,-0.00009219,0.486133 µm.
1.46153518,0.61451182,0.61347684,0.69963388,0.69963452,-0.00009219,0.486133 µm.
1.82691897,0.61490220,0.61329084,0.87464571,0.87464990,-0.00047923,0.486133 µm.
1.82691897,0.61490220,0.61329084,0.87464571,0.87464990,-0.00047923,0.486133 µm.
2.19230276,0.61537848,0.61306443,1.04972654,1.04973649,-0.00094786,0.486133 µm.
2.19230276,0.61537848,0.61306443,1.04972654,1.04973649,-0.00094786,0.486133 µm.
2.55768656,0.61594067,0.61279815,1.22489027,1.22490859,-0.00149543,0.486133 µm.
2.55768656,0.61594067,0.61279815,1.22489027,1.22490859,-0.00149543,0.486133 µm.
2.92307035,0.61658878,0.61249268,1.40015086,1.40018052,-0.00211878,0.486133 µm.
2.92307035,0.61658878,0.61249268,1.40015086,1.40018052,-0.00211878,0.486133 µm.
3.28845414,0.61732282,0.61214877,1.57552230,1.57556664,-0.00281426,0.486133 µm.
3.28845414,0.61732282,0.61214877,1.57552230,1.57556664,-0.00281426,0.486133 µm.
3.65383794,0.61814281,0.61176729,1.75101868,1.75108133,-0.00357773,0.486133 µm.
3.65383794,0.61814281,0.61176729,1.75101868,1.75108133,-0.00357773,0.486133 µm.
4.01922173,0.61904875,0.61134922,1.92665417,1.92673904,-0.00440452,0.486133 µm.
4.01922173,0.61904875,0.61134922,1.92665417,1.92673904,-0.00440452,0.486133 µm.
4.38460553,0.62004065,0.61089564,2.10244302,2.10255423,-0.00528946,0.486133 µm.
4.38460553,0.62004065,0.61089564,2.10244302,2.10255423,-0.00528946,0.486133 µm.
4.74998932,0.62111851,0.61040777,2.27839957,2.27854145,-0.00622687,0.486133 µm.
4.74998932,0.62111851,0.61040777,2.27839957,2.27854145,-0.00622687,0.486133 µm.
5.11537311,0.62228231,0.60988689,2.45453829,2.45471528,-0.00721051,0.486133 µm.
5.11537311,0.62228231,0.60988689,2.45453829,2.45471528,-0.00721051,0.486133 µm.
5.48075691,0.62353206,0.60933446,2.63087374,2.63109038,-0.00823363,0.486133 µm.
5.48075691,0.62353206,0.60933446,2.63087374,2.63109038,-0.00823363,0.486133 µm.
5.84614070,0.62486771,0.60875202,2.80742065,2.80768145,-0.00928892,0.486133 µm.
5.84614070,0.62486771,0.60875202,2.80742065,2.80768145,-0.00928892,0.486133 µm.
6.21152450,0.62628924,0.60814123,2.98419384,2.98450329,-0.01036851,0.486133 µm.
6.21152450,0.62628924,0.60814123,2.98419384,2.98450329,-0.01036851,0.486133 µm.
6.57690829,0.62779659,0.60750391,3.16120832,3.16157076,-0.01146397,0.486133 µm.
6.57690829,0.62779659,0.60750391,3.16120832,3.16157076,-0.01146397,0.486133 µm.
6.94229208,0.62938970,0.60684198,3.33847923,3.33889880,-0.01256627,0.486133 µm.
6.94229208,0.62938970,0.60684198,3.33847923,3.33889880,-0.01256627,0.486133 µm.
7.30767588,0.63106846,0.60615750,3.51602190,3.51650245,-0.01366581,0.486133 µm.
7.30767588,0.63106846,0.60615750,3.51602190,3.51650245,-0.01366581,0.486133 µm.
7.67305967,0.63283278,0.60545268,3.69385182,3.69439684,-0.01475236,0.486133 µm.
7.67305967,0.63283278,0.60545268,3.69385182,3.69439684,-0.01475236,0.486133 µm.
8.03844347,0.63468251,0.60472986,3.87198471,3.87259717,-0.01581508,0.486133 µm.
8.03844347,0.63468251,0.60472986,3.87198471,3.87259717,-0.01581508,0.486133 µm.
8.40382726,0.63661748,0.60399153,4.05043646,4.05111877,-0.01684248,0.486133 µm.
8.40382726,0.63661748,0.60399153,4.05043646,4.05111877,-0.01684248,0.486133 µm.
8.76921105,0.63863749,0.60324035,4.22922320,4.22997708,-0.01782242,0.486133 µm.
8.76921105,0.63863749,0.60324035,4.22922320,4.22997708,-0.01782242,0.486133 µm.
9.13459485,0.64074229,0.60247911,4.40836126,4.40918764,-0.01874207,0.486133 µm.
9.13459485,0.64074229,0.60247911,4.40836126,4.40918764,-0.01874207,0.486133 µm.
9.49997864,0.64293160,0.60171078,4.58786726,4.58876610,-0.01958792,0.486133 µm.
9.49997864,0.64293160,0.60171078,4.58786726,4.58876610,-0.01958792,0.486133 µm.
9.86536243,0.64520509,0.60093852,4.76775803,4.76872826,-0.02034575,0.486133 µm.
9.86536243,0.64520509,0.60093852,4.76775803,4.76872826,-0.02034575,0.486133 µm.
10.23074623,0.64756236,0.60016563,4.94805069,4.94909003,-0.02100057,0.486133 µm.
10.23074623,0.64756236,0.60016563,4.94805069,4.94909003,-0.02100057,0.486133 µm.
10.59613002,0.65000297,0.59939563,5.12876266,5.12986746,-0.02153667,0.486133 µm.
