Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,0.02527788,0.02527788,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,0.02527788,0.02527788,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.12139638,0.02529809,0.02526809,0.21177932,0.21177923,0.00004235,0.486133 µm.
0.12139638,0.02529809,0.02526809,0.21177932,0.21177923,0.00004235,0.486133 µm.
0.24279277,0.02536722,0.02523876,0.42356140,0.42356036,0.00024733,0.486133 µm.
0.24279277,0.02536722,0.02523876,0.42356140,0.42356036,0.00024733,0.486133 µm.
0.36418915,0.02548522,0.02518991,0.63534903,0.63534529,0.00058891,0.486133 µm.
0.36418915,0.02548522,0.02518991,0.63534903,0.63534529,0.00058891,0.486133 µm.
0.48558553,0.02565203,0.02512165,0.84714496,0.84713592,0.00106698,0.486133 µm.
0.48558553,0.02565203,0.02512165,0.84714496,0.84713592,0.00106698,0.486133 µm.
0.60698191,0.02586754,0.02503409,1.05895197,1.05893417,0.00168139,0.486133 µm.
0.60698191,0.02586754,0.02503409,1.05895197,1.05893417,0.00168139,0.486133 µm.
0.72837830,0.02613162,0.02492736,1.27077282,1.27074192,0.00243196,0.486133 µm.
0.72837830,0.02613162,0.02492736,1.27077282,1.27074192,0.00243196,0.486133 µm.
0.84977468,0.02644410,0.02480166,1.48261028,1.48256108,0.00331847,0.486133 µm.
0.84977468,0.02644410,0.02480166,1.48261028,1.48256108,0.00331847,0.486133 µm.
0.97117106,0.02680480,0.02465720,1.69446711,1.69439356,0.00434066,0.486133 µm.
0.97117106,0.02680480,0.02465720,1.69446711,1.69439356,0.00434066,0.486133 µm.
1.09256744,0.02721348,0.02449423,1.90634606,1.90624125,0.00549822,0.486133 µm.
1.09256744,0.02721348,0.02449423,1.90634606,1.90624125,0.00549822,0.486133 µm.
1.21396383,0.02766989,0.02431302,2.11824990,2.11810607,0.00679079,0.486133 µm.
1.21396383,0.02766989,0.02431302,2.11824990,2.11810607,0.00679079,0.486133 µm.
1.33536021,0.02817373,0.02411390,2.33018139,2.32998991,0.00821800,0.486133 µm.
1.33536021,0.02817373,0.02411390,2.33018139,2.32998991,0.00821800,0.486133 µm.
1.45675659,0.02872469,0.02389721,2.54214326,2.54189468,0.00977941,0.486133 µm.
1.45675659,0.02872469,0.02389721,2.54214326,2.54189468,0.00977941,0.486133 µm.
1.57815297,0.02932240,0.02366332,2.75413827,2.75382229,0.01147455,0.486133 µm.
1.57815297,0.02932240,0.02366332,2.75413827,2.75382229,0.01147455,0.486133 µm.
1.69954936,0.02996647,0.02341267,2.96616917,2.96577464,0.01330291,0.486133 µm.
1.69954936,0.02996647,0.02341267,2.96616917,2.96577464,0.01330291,0.486133 µm.
1.82094574,0.03065649,0.02314568,3.17823869,3.17775364,0.01526394,0.486133 µm.
1.82094574,0.03065649,0.02314568,3.17823869,3.17775364,0.01526394,0.486133 µm.
1.94234212,0.03139198,0.02286285,3.39034957,3.38976120,0.01735703,0.486133 µm.
