Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.02096745,-0.02096745,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.02096745,-0.02096745,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.21000000,-0.02098311,-0.02098090,0.21005396,0.21005370,0.00011987,0.486133 µm.
0.21000000,-0.02098311,-0.02098090,0.21005396,0.21005370,0.00011987,0.486133 µm.
0.42000000,-0.02103160,-0.02102122,0.42010940,0.42010741,0.00047513,0.486133 µm.
0.42000000,-0.02103160,-0.02102122,0.42010940,0.42010741,0.00047513,0.486133 µm.
0.63000000,-0.02111280,-0.02108838,0.63016784,0.63016111,0.00106720,0.486133 µm.
0.63000000,-0.02111280,-0.02108838,0.63016784,0.63016111,0.00106720,0.486133 µm.
0.84000000,-0.02122652,-0.02118229,0.84023074,0.84021481,0.00189602,0.486133 µm.
0.84000000,-0.02122652,-0.02118229,0.84023074,0.84021481,0.00189602,0.486133 µm.
1.05000000,-0.02137245,-0.02130284,1.05029962,1.05026852,0.00296153,0.486133 µm.
1.05000000,-0.02137245,-0.02130284,1.05029962,1.05026852,0.00296153,0.486133 µm.
1.26000000,-0.02155022,-0.02144990,1.26037596,1.26032222,0.00426365,0.486133 µm.
1.26000000,-0.02155022,-0.02144990,1.26037596,1.26032222,0.00426365,0.486133 µm.
1.47000000,-0.02175938,-0.02162331,1.47046124,1.47037592,0.00580225,0.486133 µm.
1.47000000,-0.02175938,-0.02162331,1.47046124,1.47037592,0.00580225,0.486133 µm.
1.68000000,-0.02199938,-0.02182285,1.68055696,1.68042963,0.00757723,0.486133 µm.
1.68000000,-0.02199938,-0.02182285,1.68055696,1.68042963,0.00757723,0.486133 µm.
1.89000000,-0.02226960,-0.02204831,1.89066460,1.89048333,0.00958843,0.486133 µm.
1.89000000,-0.02226960,-0.02204831,1.89066460,1.89048333,0.00958843,0.486133 µm.
2.10000000,-0.02256932,-0.02229941,2.10078565,2.10053704,0.01183568,0.486133 µm.
2.10000000,-0.02256932,-0.02229941,2.10078565,2.10053704,0.01183568,0.486133 µm.
2.31000000,-0.02289775,-0.02257587,2.31092159,2.31059074,0.01431880,0.486133 µm.
2.31000000,-0.02289775,-0.02257587,2.31092159,2.31059074,0.01431880,0.486133 µm.
2.52000000,-0.02325403,-0.02287737,2.52107390,2.52064444,0.01703759,0.486133 µm.
2.52000000,-0.02325403,-0.02287737,2.52107390,2.52064444,0.01703759,0.486133 µm.
2.73000000,-0.02363719,-0.02320355,2.73124406,2.73069815,0.01999182,0.486133 µm.
2.73000000,-0.02363719,-0.02320355,2.73124406,2.73069815,0.01999182,0.486133 µm.
2.94000000,-0.02404619,-0.02355403,2.94143355,2.94075185,0.02318125,0.486133 µm.
2.94000000,-0.02404619,-0.02355403,2.94143355,2.94075185,0.02318125,0.486133 µm.
3.15000000,-0.02447991,-0.02392840,3.15164384,3.15080555,0.02660562,0.486133 µm.
3.15000000,-0.02447991,-0.02392840,3.15164384,3.15080555,0.02660562,0.486133 µm.
3.36000000,-0.02493714,-0.02432620,3.36187641,3.36085926,0.03026463,0.486133 µm.
3.36000000,-0.02493714,-0.02432620,3.36187641,3.36085926,0.03026463,0.486133 µm.
3.57000000,-0.02541661,-0.02474696,3.57213271,3.57091296,0.03415800,0.486133 µm.
3.57000000,-0.02541661,-0.02474696,3.57213271,3.57091296,0.03415800,0.486133 µm.
3.78000000,-0.02591695,-0.02519018,3.78241422,3.78096666,0.03828538,0.486133 µm.
3.78000000,-0.02591695,-0.02519018,3.78241422,3.78096666,0.03828538,0.486133 µm.
3.99000000,-0.02643671,-0.02565532,3.99272240,3.99102037,0.04264645,0.486133 µm.
3.99000000,-0.02643671,-0.02565532,3.99272240,3.99102037,0.04264645,0.486133 µm.
4.20000000,-0.02697436,-0.02614180,4.20305869,4.20107407,0.04724085,0.486133 µm.
4.20000000,-0.02697436,-0.02614180,4.20305869,4.20107407,0.04724085,0.486133 µm.
4.41000000,-0.02752831,-0.02664904,4.41342457,4.41112777,0.05206818,0.486133 µm.
4.41000000,-0.02752831,-0.02664904,4.41342457,4.41112777,0.05206818,0.486133 µm.
4.62000000,-0.02809685,-0.02717639,4.62382147,4.62118148,0.05712804,0.486133 µm.
4.62000000,-0.02809685,-0.02717639,4.62382147,4.62118148,0.05712804,0.486133 µm.
4.83000000,-0.02867825,-0.02772320,4.83425084,4.83123518,0.06242003,0.486133 µm.
4.83000000,-0.02867825,-0.02772320,4.83425084,4.83123518,0.06242003,0.486133 µm.
5.04000000,-0.02927064,-0.02828877,5.04471412,5.04128888,0.06794368,0.486133 µm.
5.04000000,-0.02927064,-0.02828877,5.04471412,5.04128888,0.06794368,0.486133 µm.
5.25000000,-0.02987212,-0.02887238,5.25521275,5.25134259,0.07369855,0.486133 µm.
5.25000000,-0.02987212,-0.02887238,5.25521275,5.25134259,0.07369855,0.486133 µm.
5.46000000,-0.03048070,-0.02947327,5.46574816,5.46139629,0.07968415,0.486133 µm.
5.46000000,-0.03048070,-0.02947327,5.46574816,5.46139629,0.07968415,0.486133 µm.
