Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
0.00000000,-0.00379580,-0.00379580,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.00000000,-0.00379580,-0.00379580,0.00000000,0.00000000,0.00000000,0.486133 µm.
0.04250000,-0.00381066,-0.00380539,0.21635423,0.21635428,-0.00002589,0.486133 µm.
0.04250000,-0.00381066,-0.00380539,0.21635423,0.21635428,-0.00002589,0.486133 µm.
0.08500000,-0.00385772,-0.00383416,0.43270835,0.43270880,-0.00010360,0.486133 µm.
0.08500000,-0.00385772,-0.00383416,0.43270835,0.43270880,-0.00010360,0.486133 µm.
0.12750000,-0.00393695,-0.00388208,0.64906228,0.64906380,-0.00023317,0.486133 µm.
0.12750000,-0.00393695,-0.00388208,0.64906228,0.64906380,-0.00023317,0.486133 µm.
0.17000000,-0.00404828,-0.00394911,0.86541592,0.86541950,-0.00041469,0.486133 µm.
0.17000000,-0.00404828,-0.00394911,0.86541592,0.86541950,-0.00041469,0.486133 µm.
0.21250000,-0.00419166,-0.00403519,1.08176915,1.08177617,-0.00064831,0.486133 µm.
0.21250000,-0.00419166,-0.00403519,1.08176915,1.08177617,-0.00064831,0.486133 µm.
0.25500000,-0.00436699,-0.00414026,1.29812189,1.29813402,-0.00093419,0.486133 µm.
0.25500000,-0.00436699,-0.00414026,1.29812189,1.29813402,-0.00093419,0.486133 µm.
0.29750000,-0.00457416,-0.00426423,1.51447403,1.51449330,-0.00127253,0.486133 µm.
0.29750000,-0.00457416,-0.00426423,1.51447403,1.51449330,-0.00127253,0.486133 µm.
0.34000000,-0.00481302,-0.00440699,1.73082545,1.73085425,-0.00166359,0.486133 µm.
0.34000000,-0.00481302,-0.00440699,1.73082545,1.73085425,-0.00166359,0.486133 µm.
0.38250000,-0.00508344,-0.00456842,1.94717606,1.94721710,-0.00210764,0.486133 µm.
0.38250000,-0.00508344,-0.00456842,1.94717606,1.94721710,-0.00210764,0.486133 µm.
0.42500000,-0.00538523,-0.00474839,2.16352573,2.16358209,-0.00260501,0.486133 µm.
0.42500000,-0.00538523,-0.00474839,2.16352573,2.16358209,-0.00260501,0.486133 µm.
0.46750000,-0.00571821,-0.00494674,2.37987436,2.37994947,-0.00315606,0.486133 µm.
0.46750000,-0.00571821,-0.00494674,2.37987436,2.37994947,-0.00315606,0.486133 µm.
0.51000000,-0.00608215,-0.00516332,2.59622181,2.59631947,-0.00376117,0.486133 µm.
0.51000000,-0.00608215,-0.00516332,2.59622181,2.59631947,-0.00376117,0.486133 µm.
0.55250000,-0.00647684,-0.00539792,2.81256798,2.81269232,-0.00442080,0.486133 µm.
0.55250000,-0.00647684,-0.00539792,2.81256798,2.81269232,-0.00442080,0.486133 µm.
0.59500000,-0.00690200,-0.00565036,3.02891271,3.02906827,-0.00513540,0.486133 µm.
0.59500000,-0.00690200,-0.00565036,3.02891271,3.02906827,-0.00513540,0.486133 µm.
0.63750000,-0.00735739,-0.00592041,3.24525589,3.24544755,-0.00590550,0.486133 µm.
0.63750000,-0.00735739,-0.00592041,3.24525589,3.24544755,-0.00590550,0.486133 µm.
0.68000000,-0.00784270,-0.00620785,3.46159736,3.46183040,-0.00673164,0.486133 µm.
0.68000000,-0.00784270,-0.00620785,3.46159736,3.46183040,-0.00673164,0.486133 µm.
0.72250000,-0.00835763,-0.00651243,3.67793699,3.67821707,-0.00761440,0.486133 µm.
0.72250000,-0.00835763,-0.00651243,3.67793699,3.67821707,-0.00761440,0.486133 µm.
0.76500000,-0.00890186,-0.00683388,3.89427462,3.89460778,-0.00855443,0.486133 µm.
0.76500000,-0.00890186,-0.00683388,3.89427462,3.89460778,-0.00855443,0.486133 µm.
0.80750000,-0.00947505,-0.00717193,4.11061008,4.11100278,-0.00955238,0.486133 µm.
0.80750000,-0.00947505,-0.00717193,4.11061008,4.11100278,-0.00955238,0.486133 µm.
0.85000000,-0.01007683,-0.00752626,4.32694321,4.32740230,-0.01060896,0.486133 µm.
0.85000000,-0.01007683,-0.00752626,4.32694321,4.32740230,-0.01060896,0.486133 µm.
0.89250000,-0.01070684,-0.00789658,4.54327383,4.54380658,-0.01172491,0.486133 µm.
0.89250000,-0.01070684,-0.00789658,4.54327383,4.54380658,-0.01172491,0.486133 µm.
0.93500000,-0.01136467,-0.00828256,4.75960176,4.76021587,-0.01290102,0.486133 µm.
0.93500000,-0.01136467,-0.00828256,4.75960176,4.76021587,-0.01290102,0.486133 µm.
0.97750000,-0.01204993,-0.00868384,4.97592680,4.97663040,-0.01413811,0.486133 µm.
0.97750000,-0.01204993,-0.00868384,4.97592680,4.97663040,-0.01413811,0.486133 µm.
1.02000000,-0.01276220,-0.00910006,5.19224875,5.19305040,-0.01543704,0.486133 µm.
1.02000000,-0.01276220,-0.00910006,5.19224875,5.19305040,-0.01543704,0.486133 µm.
1.06250000,-0.01350103,-0.00953085,5.40856740,5.40947613,-0.01679871,0.486133 µm.
1.06250000,-0.01350103,-0.00953085,5.40856740,5.40947613,-0.01679871,0.486133 µm.
1.10500000,-0.01426598,-0.00997582,5.62488253,5.62590780,-0.01822407,0.486133 µm.
1.10500000,-0.01426598,-0.00997582,5.62488253,5.62590780,-0.01822407,0.486133 µm.
1.14750000,-0.01505658,-0.01043454,5.84119391,5.84234567,-0.01971410,0.486133 µm.
1.14750000,-0.01505658,-0.01043454,5.84119391,5.84234567,-0.01971410,0.486133 µm.
1.19000000,-0.01587237,-0.01090660,6.05750128,6.05878997,-0.02126982,0.486133 µm.
1.19000000,-0.01587237,-0.01090660,6.05750128,6.05878997,-0.02126982,0.486133 µm.
1.23250000,-0.01671285,-0.01139155,6.27380440,6.27524095,-0.02289229,0.486133 µm.
1.23250000,-0.01671285,-0.01139155,6.27380440,6.27524095,-0.02289229,0.486133 µm.
1.27500000,-0.01757752,-0.01188892,6.49010300,6.49169883,-0.02458262,0.486133 µm.
1.27500000,-0.01757752,-0.01188892,6.49010300,6.49169883,-0.02458262,0.486133 µm.
1.31750000,-0.01846589,-0.01239825,6.70639679,6.70816385,-0.02634196,0.486133 µm.
1.31750000,-0.01846589,-0.01239825,6.70639679,6.70816385,-0.02634196,0.486133 µm.
1.36000000,-0.01937742,-0.01291903,6.92268549,6.92463627,-0.02817149,0.486133 µm.
1.36000000,-0.01937742,-0.01291903,6.92268549,6.92463627,-0.02817149,0.486133 µm.
1.40250000,-0.02031159,-0.01345076,7.13896880,7.14111630,-0.03007244,0.486133 µm.
1.40250000,-0.02031159,-0.01345076,7.13896880,7.14111630,-0.03007244,0.486133 µm.
1.44500000,-0.02126788,-0.01399290,7.35524638,7.35760420,-0.03204608,0.486133 µm.
1.44500000,-0.02126788,-0.01399290,7.35524638,7.35760420,-0.03204608,0.486133 µm.
1.48750000,-0.02224573,-0.01454492,7.57151791,7.57410021,-0.03409372,0.486133 µm.
1.48750000,-0.02224573,-0.01454492,7.57151791,7.57410021,-0.03409372,0.486133 µm.
1.53000000,-0.02324460,-0.01510626,7.78778305,7.79060455,-0.03621672,0.486133 µm.
1.53000000,-0.02324460,-0.01510626,7.78778305,7.79060455,-0.03621672,0.486133 µm.
1.57250000,-0.02426394,-0.01567632,8.00404142,8.00711747,-0.03841647,0.486133 µm.
